Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 7.6000E+001; 8.9656E-001; 7.6000E+001; 8.8849E-001; 7.6000E+001; 8.9233E-001; 7.6000E+001; 8.8418E-001; 7.6000E+001; 8.3772E-001; 7.6000E+001; 8.2013E-001; 7.6000E+001; 8.9341E-001;
 7.7000E+001; 8.9666E-001; 7.7000E+001; 8.8856E-001; 7.7000E+001; 8.9244E-001; 7.7000E+001; 8.8607E-001; 7.7000E+001; 8.3897E-001; 7.7000E+001; 8.2050E-001; 7.7000E+001; 8.9341E-001;
 7.8000E+001; 8.9676E-001; 7.8000E+001; 8.8864E-001; 7.8000E+001; 8.9254E-001; 7.8000E+001; 8.8781E-001; 7.8000E+001; 8.4031E-001; 7.8000E+001; 8.2089E-001; 7.8000E+001; 8.9341E-001;
 7.9000E+001; 8.9686E-001; 7.9000E+001; 8.8872E-001; 7.9000E+001; 8.9264E-001; 7.9000E+001; 8.8940E-001; 7.9000E+001; 8.4171E-001; 7.9000E+001; 8.2131E-001; 7.9000E+001; 8.9341E-001;
 8.0000E+001; 8.9696E-001; 8.0000E+001; 8.8880E-001; 8.0000E+001; 8.9274E-001; 8.0000E+001; 8.9084E-001; 8.0000E+001; 8.4320E-001; 8.0000E+001; 8.2175E-001; 8.0000E+001; 8.9341E-001;
 8.1000E+001; 8.9707E-001; 8.1000E+001; 8.8888E-001; 8.1000E+001; 8.9284E-001; 8.1000E+001; 8.9213E-001; 8.1000E+001; 8.4476E-001; 8.1000E+001; 8.2223E-001; 8.1000E+001; 8.9341E-001;
 8.2000E+001; 8.9718E-001; 8.2000E+001; 8.8896E-001; 8.2000E+001; 8.9294E-001; 8.2000E+001; 8.9328E-001; 8.2000E+001; 8.4640E-001; 8.2000E+001; 8.2273E-001; 8.2000E+001; 8.9341E-001;
 8.3000E+001; 8.9729E-001; 8.3000E+001; 8.8904E-001; 8.3000E+001; 8.9303E-001; 8.3000E+001; 8.9430E-001; 8.3000E+001; 8.4811E-001; 8.3000E+001; 8.2327E-001; 8.3000E+001; 8.9341E-001;
 8.4000E+001; 8.9740E-001; 8.4000E+001; 8.8912E-001; 8.4000E+001; 8.9313E-001; 8.4000E+001; 8.9520E-001; 8.4000E+001; 8.4990E-001; 8.4000E+001; 8.2385E-001; 8.4000E+001; 8.9341E-001;
 8.5000E+001; 8.9751E-001; 8.5000E+001; 8.8921E-001; 8.5000E+001; 8.9322E-001; 8.5000E+001; 8.9600E-001; 8.5000E+001; 8.5177E-001; 8.5000E+001; 8.2446E-001; 8.5000E+001; 8.9341E-001;
 8.6000E+001; 8.9762E-001; 8.6000E+001; 8.8930E-001; 8.6000E+001; 8.9331E-001; 8.6000E+001; 8.9670E-001; 8.6000E+001; 8.5371E-001; 8.6000E+001; 8.2510E-001; 8.6000E+001; 8.9341E-001;
 8.7000E+001; 8.9774E-001; 8.7000E+001; 8.8939E-001; 8.7000E+001; 8.9340E-001; 8.7000E+001; 8.9733E-001; 8.7000E+001; 8.5572E-001; 8.7000E+001; 8.2579E-001; 8.7000E+001; 8.9341E-001;
 8.8000E+001; 8.9785E-001; 8.8000E+001; 8.8948E-001; 8.8000E+001; 8.9350E-001; 8.8000E+001; 8.9788E-001; 8.8000E+001; 8.5780E-001; 8.8000E+001; 8.2652E-001; 8.8000E+001; 8.9341E-001;
 8.9000E+001; 8.9797E-001; 8.9000E+001; 8.8957E-001; 8.9000E+001; 8.9359E-001; 8.9000E+001; 8.9838E-001; 8.9000E+001; 8.5993E-001; 8.9000E+001; 8.2729E-001; 8.9000E+001; 8.9341E-001;
 9.0000E+001; 8.9809E-001; 9.0000E+001; 8.8966E-001; 9.0000E+001; 8.9368E-001; 9.0000E+001; 8.9882E-001; 9.0000E+001; 8.6212E-001; 9.0000E+001; 8.2810E-001; 9.0000E+001; 8.9341E-001;
 9.1000E+001; 8.9821E-001; 9.1000E+001; 8.8975E-001; 9.1000E+001; 8.9377E-001; 9.1000E+001; 8.9923E-001; 9.1000E+001; 8.6436E-001; 9.1000E+001; 8.2896E-001; 9.1000E+001; 8.9341E-001;
 9.2000E+001; 8.9833E-001; 9.2000E+001; 8.8985E-001; 9.2000E+001; 8.9386E-001; 9.2000E+001; 8.9960E-001; 9.2000E+001; 8.6663E-001; 9.2000E+001; 8.2987E-001; 9.2000E+001; 8.9341E-001;
 9.3000E+001; 8.9846E-001; 9.3000E+001; 8.8995E-001; 9.3000E+001; 8.9396E-001; 9.3000E+001; 8.9993E-001; 9.3000E+001; 8.6894E-001; 9.3000E+001; 8.3082E-001; 9.3000E+001; 8.9341E-001;
