Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 9.2000E+001; 3.3380E+002; 9.2000E+001; 2.8540E+002; 9.2000E+001; 2.4320E+002; 9.2000E+001; 2.0733E+002; 9.2000E+001; 1.7692E+002; 9.2000E+001; 1.5042E+002; 9.2000E+001; 6.0566E+001;
 9.3000E+001; 3.3491E+002; 9.3000E+001; 2.8661E+002; 9.3000E+001; 2.4446E+002; 9.3000E+001; 2.0858E+002; 9.3000E+001; 1.7815E+002; 9.3000E+001; 1.5164E+002; 9.3000E+001; 6.1380E+001;
 9.4000E+001; 3.3602E+002; 9.4000E+001; 2.8781E+002; 9.4000E+001; 2.4571E+002; 9.4000E+001; 2.0981E+002; 9.4000E+001; 1.7938E+002; 9.4000E+001; 1.5286E+002; 9.4000E+001; 6.2196E+001;
 9.5000E+001; 3.3712E+002; 9.5000E+001; 2.8900E+002; 9.5000E+001; 2.4695E+002; 9.5000E+001; 2.1103E+002; 9.5000E+001; 1.8060E+002; 9.5000E+001; 1.5406E+002; 9.5000E+001; 6.3013E+001;
 9.6000E+001; 3.3820E+002; 9.6000E+001; 2.9018E+002; 9.6000E+001; 2.4818E+002; 9.6000E+001; 2.1225E+002; 9.6000E+001; 1.8182E+002; 9.6000E+001; 1.5526E+002; 9.6000E+001; 6.3831E+001;
 9.7000E+001; 3.3928E+002; 9.7000E+001; 2.9135E+002; 9.7000E+001; 2.4940E+002; 9.7000E+001; 2.1347E+002; 9.7000E+001; 1.8302E+002; 9.7000E+001; 1.5646E+002; 9.7000E+001; 6.4650E+001;
 9.8000E+001; 3.4035E+002; 9.8000E+001; 2.9251E+002; 9.8000E+001; 2.5061E+002; 9.8000E+001; 2.1468E+002; 9.8000E+001; 1.8422E+002; 9.8000E+001; 1.5765E+002; 9.8000E+001; 6.5470E+001;
 9.9000E+001; 3.4142E+002; 9.9000E+001; 2.9366E+002; 9.9000E+001; 2.5182E+002; 9.9000E+001; 2.1588E+002; 9.9000E+001; 1.8541E+002; 9.9000E+001; 1.5883E+002; 9.9000E+001; 6.6290E+001;
 1.0000E+002; 3.4247E+002; 1.0000E+002; 2.9481E+002; 1.0000E+002; 2.5301E+002; 1.0000E+002; 2.1707E+002; 1.0000E+002; 1.8660E+002; 1.0000E+002; 1.6000E+002; 1.0000E+002; 6.7112E+001;
 1.0100E+002; 3.4352E+002; 1.0100E+002; 2.9594E+002; 1.0100E+002; 2.5420E+002; 1.0100E+002; 2.1826E+002; 1.0100E+002; 1.8777E+002; 1.0100E+002; 1.6117E+002; 1.0100E+002; 6.7934E+001;
 1.0200E+002; 3.4456E+002; 1.0200E+002; 2.9707E+002; 1.0200E+002; 2.5538E+002; 1.0200E+002; 2.1944E+002; 1.0200E+002; 1.8895E+002; 1.0200E+002; 1.6233E+002; 1.0200E+002; 6.8756E+001;
 1.0300E+002; 3.4560E+002; 1.0300E+002; 2.9819E+002; 1.0300E+002; 2.5656E+002; 1.0300E+002; 2.2062E+002; 1.0300E+002; 1.9011E+002; 1.0300E+002; 1.6349E+002; 1.0300E+002; 6.9579E+001;
